No,PORTNAME
800,BOULOGNE
801,DARWIN
802,HAKODATE
803,WHANGAREI
804,BEIRA
805,SAN NICOLAS
806,MIZUSHIMA
807,OMISALJ
808,TURBO
809,KAWASAKI
810,CONSTANZA
811,RABAT
812,PANTELLERIA
813,ODUDU
814,VINAROZ
815,CHITTAGONG
816,HO CHI MINH
817,JEDDAH
818,BUENOS AIRES
819,TILBURY
820,PUERTO CORTES
821,ES SIDER
822,SHANGHAI
823,RAS TANURA
824,CALAIS
825,ONSAK
826,DAVAO
827,SINES
828,BARROW IS.
829,LA PLATA
830,RICHMOND
831,EL SEGUNDO
832,COCHIN
833,KETCHIKAN
834,ROSTOCK
835,SHEERNESS
836,LE HAVRE
837,HORTA
838,ISKENDERUN
839,ESCRAVOS
840,CAIRNS
841,MEDRYN
842,TAMPICO
843,RECALADA
844,TACOMA
845,OPORTO
846,FUNCHAL
847,BORDEAUX
848,FARO
849,HAMILTON
850,NIGERIA
851,JAMBI
852,NIKOLAEV
853,BRASS TERMINAL
854,PORT CRISTOBAL
855,PARAMARIBO
856,TERMOLI
857,GUAYMAS
858,JORF LASFAR
859,SURABAYA
860,ADELAIDE
861,VISAPOTNAM
862,PORT ILO
863,UMM QASR
864,RIO HAINA
865,MANAUS
866,PALAU
867,HAIFA
868,LORIENT
869,LIMASSOL
870,RAS RAYZUT
871,ESMERALDAS
872,YOSU
873,CILACAP
874,AUCKLAND
875,SUD AFRICA
876,VENEZUELA
877,NADOR
878,SPALATO
879,MATSUYAMA
880,UMM SAID
881,PUNTA DA MADEIRA
882,POHANG
883,PORTO CERVO
884,HULL
885,PERU'
886,ZAWIA
887,IMBITUBA
888,TRINCOMALEE
889,QUENFUQUENA
890,NETTUNO
891,MUKALLA
892,PONZA
893,SANTA MARTA
894,KWINANA
895,QUINTERO
896,FOYNES
897,PUNTA CARDON
898,NEWPORT
899,TARRAGONA
900,MASAWA
901,ANTOFAGASTA
902,DAMIETTA
903,DONGES
904,PORT CORTES
905,PORT MACEIO
906,PAJARITOS
907,PORTO VESME
908,PEMBROKE
909,QINGDAO
910,VIZAKAPATNAM
911,JEBEL ALI
912,VITTORIA
913,TAURANGA
914,COVENAS
915,SAINT CROIX
916,TAORMINA
917,ST JAMES
918,CAPE CUVIER
919,SAN PEDRO
920,KHOR FAKKAN
921,QABOOS
922,PUSAN
923,VIESTE
924,BARANQUILLA
925,DAKHLA
926,RIPOSTO
927,BREMERHAVEN
928,BANDAR ABBAS
929,KOPER
930,TRINIDAD
931,PUNTA ARENAS
932,SICILIA
933,PORT KAMSAR
934,KLAIPEDA
935,NINGBO
936,CANAKKALE
937,PORTO MARGHERA
938,MASSAWA
939,MASCUT
940,JUBAIL
941,PORT RASHID
942,BRISTOL
943,AGUILAS
944,ALCUDIA
945,AVILES
946,BERMEO
947,BURELA
948,PUERTO DE SANTA MARIA
949,CARBONERAS
950,CORUNNA
951,FERROL
952,GANDIA
953,IBIZA
954,MAHON
955,MARIN
956,PALAMOS
957,BREMEN
958,AMUAY BAY
959,GOA
960,RIO GRANDE
961,STENUNGSUND
962,MANZANILLO
963,HAKATA
964,GRANGEMOUTH
965,ZARATE
966,SPERLONGA
967,TORRE DEL GRECO
968,BUSAN
969,REYKJAVIK
970,SAN CARLOS
971,RODI
972,SOMALIA
973,SPAGNA
974,POTI
975,DELAWARE CITY
976,ROUEN
977,IMOLA
978,YOMBO
979,LOMBO
980,INDIA
981,BEIRUT
982,MILANO
983,TALLIN
984,BAYTOWN
985,ESSAOURIA
986,INDONESIA
987,SAO FRANCISCO DO SUL
988,RUBY TERMINAL
989,HUALIEN
990,LIBIA
991,QUA IBOE
992,PUERTO RICO
993,WEST AFRICA
994,MASAN
995,MERSIN
996,AKITA
997,BRAEFOOT BAY
998,SANTO DOMINGO
999,GALEOTA POINT
1000,HAVANA
1001,DOVER
1002,DURAZZO
1003,VALONA
1004,TUNISIA
1005,CAPE HENRY
1006,MALPENSA
